Time,Used,Committed,Max
43169.657208,135227680,259522560,259522560
43169.657249,193023072,259522560,259522560
43169.657295,169737768,259522560,259522560
43169.657341,198745800,259522560,259522560
43169.657388,215490328,259522560,259522560
43169.657434,257443096,259522560,259522560
43169.657531,0,0,0
