Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 6272880k(2838648k free), swap 12543884k(8588116k free)
CommandLine flags: -XX:GCLogFileSize=1048576 -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2018-02-24T19:50:38.669+0300: 27.378: [GC (Allocation Failure) [PSYoungGen: 65536K->10738K(76288K)] 65536K->17210K(251392K), 0.0095571 secs] [Times: user=0.02 sys=0.02, real=0.01 secs] 
2018-02-24T19:52:21.882+0300: 130.589: [Full GC (Ergonomics) [PSYoungGen: 29688K->29629K(58368K)] [ParOldGen: 174626K->174626K(175104K)] 204314K->204256K(233472K), [Metaspace: 9557K->9557K(1058816K)], 0.0283501 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2018-02-24T19:52:21.910+0300: 130.617: [Full GC (Ergonomics) [PSYoungGen: 29693K->29651K(58368K)] [ParOldGen: 174626K->174626K(175104K)] 204319K->204277K(233472K), [Metaspace: 9557K->9557K(1058816K)], 0.0269039 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2018-02-24T19:52:21.937+0300: 130.644: [Full GC (Ergonomics) [PSYoungGen: 29688K->29663K(58368K)] [ParOldGen: 174626K->174626K(175104K)] 204314K->204289K(233472K), [Metaspace: 9557K->9557K(1058816K)], 0.0263858 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2018-02-24T19:52:21.964+0300: 130.671: [Full GC (Ergonomics) [PSYoungGen: 29690K->29675K(58368K)] [ParOldGen: 174626K->174626K(175104K)] 204316K->204301K(233472K), [Metaspace: 9557K->9557K(1058816K)], 0.0276138 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2018-02-24T19:52:21.992+0300: 130.699: [Full GC (Ergonomics) [PSYoungGen: 29695K->29675K(58368K)] [ParOldGen: 174626K->174626K(175104K)] 204322K->204301K(233472K), [Metaspace: 9557K->9557K(1058816K)], 0.0263702 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2018-02-24T19:52:22.018+0300: 130.725: [Full GC (Ergonomics) [PSYoungGen: 29689K->29687K(58368K)] [ParOldGen: 174626K->174626K(175104K)] 204315K->204313K(233472K), [Metaspace: 9557K->9557K(1058816K)], 0.0268512 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2018-02-24T19:52:22.046+0300: 130.753: [Full GC (Ergonomics) [PSYoungGen: 29696K->29675K(58368K)] [ParOldGen: 175042K->174840K(175104K)] 204738K->204516K(233472K), [Metaspace: 9557K->9557K(1058816K)], 0.0263372 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2018-02-24T19:52:22.072+0300: 130.779: [Full GC (Ergonomics) [PSYoungGen: 29691K->29687K(58368K)] [ParOldGen: 174840K->174840K(175104K)] 204532K->204528K(233472K), [Metaspace: 9557K->9557K(1058816K)], 0.0266312 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2018-02-24T19:52:22.099+0300: 130.806: [Full GC (Ergonomics) [PSYoungGen: 29696K->29676K(58368K)] [ParOldGen: 175102K->174983K(175104K)] 204798K->204660K(233472K), [Metaspace: 9557K->9557K(1058816K)], 0.0273693 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2018-02-24T19:52:22.127+0300: 130.834: [Full GC (Ergonomics) [PSYoungGen: 29696K->29689K(58368K)] [ParOldGen: 174983K->174971K(175104K)] 204679K->204660K(233472K), [Metaspace: 9557K->9557K(1058816K)], 0.0265313 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
