Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 6272880k(2144552k free), swap 12543884k(7082232k free)
CommandLine flags: -XX:GCLogFileSize=1048576 -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelOldGC 
2018-03-10T15:20:38.045+0300: 1.659: [GC (Allocation Failure) [PSYoungGen: 65536K->10744K(76288K)] 65536K->24681K(251392K), 0.0841861 secs] [Times: user=0.06 sys=0.00, real=0.09 secs] 
2018-03-10T15:21:02.059+0300: 25.673: [Full GC (Ergonomics) [PSYoungGen: 29696K->14132K(58368K)] [ParOldGen: 174811K->174831K(175104K)] 204507K->188963K(233472K), [Metaspace: 9328K->9328K(1058816K)], 0.0745758 secs] [Times: user=0.19 sys=0.00, real=0.07 secs] 
2018-03-10T15:21:02.136+0300: 25.750: [Full GC (Ergonomics) [PSYoungGen: 29696K->21883K(58368K)] [ParOldGen: 174831K->174831K(175104K)] 204527K->196714K(233472K), [Metaspace: 9328K->9328K(1058816K)], 0.0291718 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:02.166+0300: 25.781: [Full GC (Ergonomics) [PSYoungGen: 29696K->25764K(58368K)] [ParOldGen: 174831K->174831K(175104K)] 204527K->200596K(233472K), [Metaspace: 9328K->9328K(1058816K)], 0.0356545 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2018-03-10T15:21:03.226+0300: 26.840: [Full GC (Ergonomics) [PSYoungGen: 29696K->21071K(58368K)] [ParOldGen: 174831K->174893K(175104K)] 204527K->195965K(233472K), [Metaspace: 9328K->9328K(1058816K)], 0.0835636 secs] [Times: user=0.14 sys=0.00, real=0.08 secs] 
2018-03-10T15:21:03.311+0300: 26.926: [Full GC (Ergonomics) [PSYoungGen: 29696K->25361K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204589K->200255K(233472K), [Metaspace: 9331K->9331K(1058816K)], 0.0308786 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:03.344+0300: 26.958: [Full GC (Ergonomics) [PSYoungGen: 29696K->27513K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204589K->202407K(233472K), [Metaspace: 9331K->9331K(1058816K)], 0.0248220 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.369+0300: 26.983: [Full GC (Ergonomics) [PSYoungGen: 29696K->28598K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204589K->203492K(233472K), [Metaspace: 9331K->9331K(1058816K)], 0.0258019 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:03.397+0300: 27.011: [Full GC (Ergonomics) [PSYoungGen: 29691K->29139K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204585K->204033K(233472K), [Metaspace: 9333K->9333K(1058816K)], 0.0230688 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.421+0300: 27.035: [Full GC (Ergonomics) [PSYoungGen: 29696K->29409K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204589K->204303K(233472K), [Metaspace: 9334K->9334K(1058816K)], 0.0248390 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:03.446+0300: 27.060: [Full GC (Ergonomics) [PSYoungGen: 29693K->29551K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204587K->204445K(233472K), [Metaspace: 9334K->9334K(1058816K)], 0.0226810 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.469+0300: 27.083: [Full GC (Ergonomics) [PSYoungGen: 29692K->29619K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204586K->204513K(233472K), [Metaspace: 9334K->9334K(1058816K)], 0.0236244 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.493+0300: 27.107: [Full GC (Ergonomics) [PSYoungGen: 29692K->29651K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204586K->204545K(233472K), [Metaspace: 9334K->9334K(1058816K)], 0.0267644 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:03.522+0300: 27.136: [Full GC (Ergonomics) [PSYoungGen: 29696K->29675K(58368K)] [ParOldGen: 174893K->174893K(175104K)] 204589K->204569K(233472K), [Metaspace: 9335K->9335K(1058816K)], 0.0245927 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
