Time,Used,Committed,Max
43169.633371,160779280,259522560,259522560
43169.633413,159088808,259522560,259522560
43169.633459,167482296,259522560,259522560
43169.633506,234872568,259522560,259522560
43169.633552,232133120,259522560,259522560
43169.633598,258968016,259522560,259522560
43169.633691,0,0,0
